Category;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Uji Mainnatun Khasanah;Lifestyle;https://vt.tiktok.com/ZSuFvTpaV/;29900;930000;1600;1801;119;5;3;0,42%;7,05%;6,02%;Rp516,38
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Tri nur sarifah;Lifestyle;https://vt.tiktok.com/ZSu2B83SW/;2447;930000;1100;1588;103;0;0;4,21%;6,49%;64,90%;Rp585,64
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Diah Awalokiteswari;Lifestyle;https://vt.tiktok.com/ZSuRaC4b9/;10200;930000;119;367;47;12;2;0,60%;16,62%;3,60%;Rp2.534,06
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Yunita Padilah;Lifestyle;https://vt.tiktok.com/ZSuAPPwDb/;12000;930000;146;201;6;0;0;0,05%;2,99%;1,68%;Rp4.626,87
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Irma kautsari;Lifestyle;https://vt.tiktok.com/ZSuFG55Yh/;65800;930000;52;5714;502;0;0;0,76%;8,79%;8,68%;Rp162,76
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Yuni Savitri;Lifestyle;https://vt.tiktok.com/ZSujU6YyT/;36500;930000;3600;3904;158;24;9;0,52%;4,89%;10,70%;Rp238,22
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Ranti Aisyah;Lifestyle;https://vt.tiktok.com/ZSurPYmHo/;3430;930000;107;623;58;10;44;3,27%;17,98%;18,16%;Rp1.492,78
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Winda purnamasari;Lifestyle;https://vt.tiktok.com/ZSuasgh4s/;24700;930000;4700;5190;58;0;11;0,28%;1,33%;21,01%;Rp179,19
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Erni Juningsih;Lifestyle;https://vt.tiktok.com/ZSuD64qAg/;7900;930000;2000;2177;62;2;15;1,00%;3,63%;27,56%;Rp427,19
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Mayang Rosaria;Lifestyle;https://vt.tiktok.com/ZSuB152J4/;14500;930000;10400;10519;526;82;7;4,24%;5,85%;72,54%;Rp88,41
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;irna nurul kamila;Lifestyle;https://vt.tiktok.com/ZSuFNtcvh/;17500;930000;471;733;31;9;7;0,27%;6,41%;4,19%;Rp1.268,76
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Aditya Putri;Lifestyle;https://vt.tiktok.com/ZSuACe4mf/;3200;930000;107;192;26;6;69;3,16%;52,60%;6,00%;Rp4.843,75
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Alvi septi;Lifestyle;https://vt.tiktok.com/ZSuDMUyGb/;7200;930000;2100;2496;168;33;4;2,85%;8,21%;34,67%;Rp372,60
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Kiki elita silviana;Lifestyle;https://vt.tiktok.com/ZSuAgkGhF/;5132;930000;69;85;11;0;0;0,21%;12,94%;1,66%;Rp10.941,18
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Muhibah;Lifestyle;https://vt.tiktok.com/ZSuAaL59w/;1691;930000;7;7;3;0;1;0,24%;57,14%;0,41%;Rp132.857,14
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Ilma Fara Ananda;Lifestyle;https://vt.tiktok.com/ZSuL9ERUe/;14100;930000;178;748;103;19;7;0,91%;17,25%;5,30%;Rp1.243,32
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Fika Karunia;Lifestyle;https://vt.tiktok.com/ZSujvFta1/;1300;930000;1000;1529;7;0;0;0,54%;0,46%;117,62%;Rp608,24
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Leni Agustina;Lifestyle;https://vt.tiktok.com/ZSuY1MS7s/;10300;930000;3200;3523;156;2;3;1,56%;4,57%;34,20%;Rp263,98
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Macro;Nurvar;Lifestyle;https://vt.tiktok.com/ZSuA8npPF/;110000;930000;35900;39799;1100;7;32;1,04%;2,86%;36,18%;Rp23,37
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Rini Siti M;Lifestyle;https://vt.tiktok.com/ZSuBwxSvp/;4407;930000;189;313;112;57;3;3,90%;54,95%;7,10%;Rp2.971,25
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Tika mayzasi;Lifestyle;https://vt.tiktok.com/ZSuYD4qs4/;6940;930000;2200;2456;250;13;6;3,88%;10,95%;35,39%;Rp378,66
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Ayuni Wulandari;Lifestyle;https://vt.tiktok.com/ZSuMDXtxM/;28000;930000;118;1073;43;28;18;0,32%;8,29%;3,83%;Rp866,73
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Arlin Irliana;Lifestyle;https://vt.tiktok.com/ZSuYwqF5f/;11700;930000;112;181;92;31;28;1,29%;83,43%;1,55%;Rp5.138,12
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;shabrina tsurraya;Lifestyle;https://vt.tiktok.com/ZSuDxYKuS/;13400;930000;666;706;94;8;17;0,89%;16,86%;5,27%;Rp1.317,28
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Utari oktavia;Lifestyle;https://vt.tiktok.com/ZSu6nvQdh/;5193;930000;1500;1708;120;23;5;2,85%;8,67%;32,89%;Rp544,50
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Niken Rizki;Lifestyle;https://vt.tiktok.com/ZSuA31ejc/;15500;930000;2800;6020;65;22;4;0,59%;1,51%;38,84%;Rp154,49
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Ayu Fitri Lestari;Lifestyle;https://vt.tiktok.com/ZSu2hbqpT/;10500;930000;419;2099;149;2;166;3,02%;15,10%;19,99%;Rp443,07
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Rahmadiana;Lifestyle;https://vt.tiktok.com/ZSuAQq6qE/;29000;930000;457;753;372;48;10;1,48%;57,10%;2,60%;Rp1.235,06
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Ajeng Fatikhatul Muflikhah;Lifestyle;https://vt.tiktok.com/ZSu2DMD64/;4110;930000;97;157;22;15;5;1,02%;26,75%;3,82%;Rp5.923,57
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Nano;Anggita Putri;Lifestyle;https://vt.tiktok.com/ZSuFXeFtg/;3087;930000;805;1706;138;18;30;6,03%;10,90%;55,26%;Rp545,13
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;Mar-26;TikTok;Micro;Ayu Asmaliah;Lifestyle;https://vt.tiktok.com/ZSuDVAMW5/;11400;930000;174;1862;9;9;8;0,23%;1,40%;16,33%;Rp499,46
HEALTH SUPPLEMENT;Enervon;Enervon Kids Chewtab;Consideration;May-26;TikTok;Mega;kepalakeluarga.id;Lifestyle;https://www.instagram.com/p/DYhQmoBj5rs/?igsh=YzlhYjk2dXJwODhy;1100000;6000000;535497;521330;305;7;44;0,03%;0,07%;47,39%;Rp11,51
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Apr-26;TikTok;Micro;Audrey Jesslyn;Lifestyle;https://www.tiktok.com/@audreyjesslyn/video/7633760852302171409?_r=1&_t=ZS-95umgZYBKK0;29800;10725000;2100;3325;227;4;1;0,78%;6,98%;11,16%;Rp3.225,56
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Apr-26;TikTok;Micro;Intan berlian;Lifestyle;https://vt.tiktok.com/ZS9UD4kKQ/;61200;3000000;8500;8949;1349;2;3;2,21%;15,13%;14,62%;Rp335,23
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Apr-26;TikTok;Micro;fuddumps;Lifestyle;https://vt.tiktok.com/ZS9SX7Hhu/;52600;4000000;29800;35025;1783;10;10;3,43%;5,15%;66,59%;Rp114,20
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Apr-26;TikTok;Macro;aksyif_fikri;Lifestyle;https://vt.tiktok.com/ZS9fUfhQx/;154000;12375000;13500;114348;812;7;8;0,54%;0,72%;74,25%;Rp108,22
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Feb-26;TikTok;Macro;Nashani;Lifestyle;https://vt.tiktok.com/ZSu1ehmpL/;157900;9240000;15000;20575;491;6;9;0,32%;2,46%;13,03%;Rp449,09
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Feb-26;TikTok;Macro;Cindyarmedia;Lifestyle;https://vt.tiktok.com/ZSm4NTCa6/;395600;20625000;534200;1084050;1525;8;52;0,40%;0,15%;274,03%;Rp19,03
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Desy Ratnasari;Lifestyle;https://www.tiktok.com/@desyrtns/video/7612511679464672532?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;16884;950000;262;309;39;21;11;0,42%;22,98%;1,83%;Rp3.074,43
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Nila Matsuna;Lifestyle;https://www.tiktok.com/@nilalalamatsu92/video/7611487559146900743?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;14400;950000;1900;2979;107;15;5;0,88%;4,26%;20,69%;Rp318,90
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Orizaqueena;Lifestyle;https://www.tiktok.com/@orizaqueena/video/7612982805701643527?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;13891;950000;1500;1722;71;2;15;0,63%;5,11%;12,40%;Rp551,68
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Macro;Amirah ulayya;Lifestyle;https://www.tiktok.com/@amirahulayyass/video/7613032213726121234?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;107949;950000;5600;643;54;16;114;0,17%;28,62%;0,60%;Rp1.477,45
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Juwita Ragil;Lifestyle;https://www.tiktok.com/@witaratataaa/video/7614325985810386184?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;11674;950000;1700;1120;156;40;11;1,77%;18,48%;9,59%;Rp848,21
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Stevani Beneran;Lifestyle;https://www.tiktok.com/@keluargapokcoy/video/7614140171344170260?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12496;950000;2800;3047;172;2;0;1,39%;5,71%;24,38%;Rp311,78
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Hana Ramadhanty;Lifestyle;https://www.tiktok.com/@hanarey30/video/7614155563706043655?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12833;950000;393;574;15;12;8;0,27%;6,10%;4,47%;Rp1.655,05
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Wulan;Lifestyle;https://www.tiktok.com/@octaryawulan20/video/7614489838447824146?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;13821;950000;112;132;10;1;6;0,12%;12,88%;0,96%;Rp7.196,97
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Resty Aditya Utami;Lifestyle;https://www.tiktok.com/@utamirestya/video/7614135724585028884?is_from_webapp=1&sender_device=pc;12838;950000;2900;4059;173;7;6;1,45%;4,58%;31,62%;Rp234,05
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Ni Kadek Dwi Astuti;Lifestyle;https://www.tiktok.com/@mamawi.dwi/video/7612638108781137160?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12058;950000;3500;4058;282;9;7;2,47%;7,34%;33,65%;Rp234,11
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;risna oktavia;Lifestyle;https://www.tiktok.com/@risnaoktaviahardanik/video/7613289700605955346?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;16063;950000;238;4504;24;31;25;0,50%;1,78%;28,04%;Rp210,92
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Khonimatun Maysaroh;Lifestyle;https://www.tiktok.com/@khoniim/video/7613253181530852615?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;11613;950000;1800;2031;58;2;1;0,53%;3,00%;17,49%;Rp467,75
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Nuvia;Lifestyle;https://www.tiktok.com/@obrienups/video/7613371409875668245?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;31816;950000;8800;10270;183;14;4;0,63%;1,96%;32,28%;Rp92,50
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Dewi Asria;Lifestyle;https://www.tiktok.com/@dewi.asria/video/7612823137591233813?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10378;950000;258;2799;21;7;1;0,28%;1,04%;26,97%;Rp339,41
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Ariska Putri;Lifestyle;https://www.tiktok.com/@mimah.hanan/video/7612598951019040021?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12535;950000;880;1285;107;0;1;0,86%;8,40%;10,25%;Rp739,30
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Febry Lusyana;Lifestyle;https://www.tiktok.com/@ucciuccy23/video/7613586598277434645?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10721;950000;11000;11438;108;74;1;1,71%;1,60%;106,69%;Rp83,06
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Nelly endang sari;Lifestyle;https://www.tiktok.com/@nellyharahap25_/video/7613614465749175573?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;23240;950000;5200;5371;829;77;6;3,92%;16,98%;23,11%;Rp176,88
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Reiwindawydiaa;Lifestyle;https://www.tiktok.com/@skuyy.living13/video/7613274716756921621?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;84826;950000;174;198;20;0;9;0,03%;14,65%;0,23%;Rp4.797,98
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Dita Handiyanti;Lifestyle;https://www.tiktok.com/@ditahandi_/video/7612842237424110869?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;22866;950000;8000;10959;344;19;10;1,63%;3,40%;47,93%;Rp86,69
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;putri hapsari;Lifestyle;https://www.tiktok.com/@putrihpsari406/video/7612867150046448913?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;13585;950000;4200;5470;182;12;3;1,45%;3,60%;40,26%;Rp173,67
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Shania Dwi Rantika;Lifestyle;https://www.tiktok.com/@shania.d.r/video/7613368474168986898?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10597;950000;2300;2614;146;13;4;1,54%;6,24%;24,67%;Rp363,43
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;pelita nadyawati;Lifestyle;https://www.tiktok.com/@pelitanadya/video/7613267035027672340?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;18446;950000;1700;1797;130;26;7;0,88%;9,07%;9,74%;Rp528,66
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;riris;Lifestyle;https://www.tiktok.com/@ririsvinaa/video/7612556071252659463?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;18952;950000;1800;1898;72;2;1;0,40%;3,95%;10,01%;Rp500,53
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Andi Ratna Maharani;Lifestyle;https://www.tiktok.com/@andiratnam/video/7613506003581062418?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12603;950000;1600;2072;391;24;45;3,65%;22,20%;16,44%;Rp458,49
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Mega Gilang Cempaka Ningrum;Lifestyle;https://www.tiktok.com/@megacempaka/video/7612951078316936469?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;16127;950000;3100;4064;232;36;2;1,67%;6,64%;25,20%;Rp233,76
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;amik agisti;Lifestyle;https://www.tiktok.com/@amikagisti93/video/7613622530275855623?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;53245;950000;5900;5957;815;0;0;1,53%;13,68%;11,19%;Rp159,48
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Yulia Iskawedar;Lifestyle;https://www.tiktok.com/@yulia_lilu/video/7612776739680406805?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;56170;950000;10900;12221;111;39;3;0,27%;1,25%;21,76%;Rp77,74
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;siskaseptika;Lifestyle;https://www.tiktok.com/@siskaseptikaa/video/7613333960617397512?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10735;950000;1000;1555;107;61;109;2,58%;17,81%;14,49%;Rp610,93
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Rika Ria;Lifestyle;https://www.tiktok.com/@rikariaf/video/7612610835713756437?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;28303;950000;1600;2281;332;78;5;1,47%;18,19%;8,06%;Rp416,48
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Desi Novita;Lifestyle;https://www.tiktok.com/@desnov1812/video/7612932959628168468?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;62049;950000;14100;17966;2073;36;1910;6,48%;22,37%;28,95%;Rp52,88
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Alphylia Dwiyanti;Lifestyle;https://www.tiktok.com/@phylia.18/video/7614142059603102996?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;17288;950000;799;840;137;0;0;0,79%;16,31%;4,86%;Rp1.130,95
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Pratiwi Savitri;Lifestyle;https://www.tiktok.com/@apadimakassar/video/7614796408398286101?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;26251;950000;221;231;16;2;1;0,07%;8,23%;0,88%;Rp4.112,55
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Rosa.d.pratama;Lifestyle;https://www.tiktok.com/@kamisatuatap/video/7612780233598536967?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;13130;950000;3800;4557;207;32;6;1,87%;5,38%;34,71%;Rp208,47
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Nur Ahdiyani Kainah;Lifestyle;https://www.tiktok.com/@nurahdiyanikainah/video/7614316655820377364?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;40060;950000;138;235;8;1;0;0,02%;3,83%;0,59%;Rp4.042,55
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;tasya.caa;Lifestyle;https://www.tiktok.com/@ummahaliyareview/video/7613619807828675847?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;31099;950000;242;268;9;0;0;0,03%;3,36%;0,86%;Rp3.544,78
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Amalia Riena;Lifestyle;https://www.tiktok.com/@r_amalia13/video/7613361189233380628?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12558;950000;829;1055;55;7;4;0,53%;6,26%;8,40%;Rp900,47
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;nurhidayahdena;Lifestyle;https://www.tiktok.com/@dena.18/video/7614717957012327698?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;28359;950000;193;216;17;3;17;0,13%;17,13%;0,76%;Rp4.398,15
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Ateutika;Lifestyle;https://www.tiktok.com/@ateutika/video/7614385374445489429?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10613;950000;193;231;9;0;0;0,08%;3,90%;2,18%;Rp4.112,55
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Ayu Fitri;Lifestyle;https://www.tiktok.com/@ayufitri_73/video/7613276604952825109?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10427;950000;570;901;155;2;15;1,65%;19,09%;8,64%;Rp1.054,38
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Desi arnie;Lifestyle;https://www.tiktok.com/@desiarnie/video/7614389477296868628?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;19897;950000;1300;2689;117;0;0;0,59%;4,35%;13,51%;Rp353,29
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Dini Astriani;Lifestyle;https://www.tiktok.com/@diniastriani14/video/7612582643233836305?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;35790;950000;233;261;35;32;3;0,20%;26,82%;0,73%;Rp3.639,85
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Dewi Puspitasari;Lifestyle;https://www.tiktok.com/@dwpuspitaaa/video/7612597400242277652?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12500;950000;107;136;14;10;6;0,24%;22,06%;1,09%;Rp6.985,29
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Laksmi;Lifestyle;https://www.tiktok.com/@laksmipaopao/video/7613287156672515335?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;24909;950000;1200;1309;267;29;9;1,22%;23,30%;5,26%;Rp725,74
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Nia Aryani;Lifestyle;https://www.tiktok.com/@niaaryanii/video/7615045124552215829?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;52895;950000;7600;8632;354;25;27;0,77%;4,70%;16,32%;Rp110,06
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Dea Dewi Asiyah;Lifestyle;https://www.tiktok.com/@deasiyah19/video/7614825001404894485?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;13192;950000;190;225;9;1;0;0,08%;4,44%;1,71%;Rp4.222,22
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Angela Purnamasari;Lifestyle;https://vt.tiktok.com/ZSuJwEyhn/;10300;950000;254;1359;87;34;5;1,22%;9,27%;13,19%;Rp699,04
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Eva Yunita D;Lifestyle;https://vt.tiktok.com/ZSuRwktY9/;17400;950000;2600;3419;179;10;19;1,20%;6,08%;19,65%;Rp277,86
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Rizqi Fatimah;Lifestyle;https://vt.tiktok.com/ZSuJqEwmm/;12800;950000;1500;2033;182;29;15;1,77%;11,12%;15,88%;Rp467,29
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;April hatini;Lifestyle;https://vt.tiktok.com/ZSuYsgNHv/;51000;950000;10100;10226;389;76;228;1,36%;6,78%;20,05%;Rp92,90
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Finta ainda;Lifestyle;https://vt.tiktok.com/ZSuNhNknW/;10700;950000;171;202;22;12;10;0,41%;21,78%;1,89%;Rp4.702,97
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Imra luqra;Lifestyle;https://vt.tiktok.com/ZSuRTyvPE/;11200;950000;161;188;38;42;2;0,73%;43,62%;1,68%;Rp5.053,19
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Rita Wartini;Lifestyle;https://vt.tiktok.com/ZSuY4WjhR/;13900;950000;471;829;476;24;13;3,69%;61,88%;5,96%;Rp1.145,96
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Fanny Aulia Lizara;Lifestyle;https://vt.tiktok.com/ZSuY9QdJC/;11600;950000;107;413;201;2;102;2,63%;73,85%;3,56%;Rp2.300,24
HEALTH SUPPLEMENT;Enervon;Enervon-C;Consideration;Mar-26;TikTok;Micro;Ratna Sari Purwaningsih;Lifestyle;https://vt.tiktok.com/ZSuNYwX72/;13400;950000;2000;2577;123;4;2;0,96%;5,01%;19,23%;Rp368,65
